                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                0.91513,                0.36259,                 1.2159,                0.99783,                0.99867,                0.99448,                0.81153,                0.81061,                0.26739,                 1.2544,               0.009604,               0.009604,               0.009604
                     16,                0.91403,                0.36244,                  1.214,                0.99777,                0.99865,                0.99448,                0.81262,                0.81048,                0.26445,                 1.2512,               0.009538,               0.009538,               0.009538
                     17,                0.91352,                0.36096,                 1.2145,                 0.9977,                 0.9988,                0.99447,                0.81271,                0.81051,                0.26283,                 1.2496,               0.009505,               0.009505,               0.009505
                     18,                0.91191,                0.36076,                 1.2129,                0.99773,                0.99877,                0.99446,                  0.813,                0.81065,                0.26155,                 1.2482,               0.009472,               0.009472,               0.009472
