               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.6507,             0.93924,              1.3842,             0.83049,             0.62724,             0.72563,             0.41602,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              1.6484,             0.93837,              1.3808,             0.84412,             0.61959,             0.72493,             0.41736,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,              1.6465,             0.93662,              1.3798,              0.8507,             0.61962,             0.72514,              0.4166,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,              1.6417,             0.93222,              1.3794,             0.85352,             0.61888,             0.72565,             0.41598,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,               1.638,             0.92723,              1.3765,             0.85544,             0.61486,             0.72581,             0.41769,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              1.6367,             0.92657,              1.3753,             0.85124,             0.61551,             0.72561,             0.41925,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              1.6267,             0.91849,               1.372,             0.85227,             0.61934,              0.7268,             0.42117,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              1.6257,             0.91425,               1.367,             0.84117,             0.62607,             0.72993,             0.42217,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              1.6243,             0.91253,              1.3709,             0.85174,             0.62507,             0.73219,             0.42362,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,              1.6204,             0.91121,              1.3673,             0.85091,             0.62665,             0.73271,             0.42386,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,              1.6212,             0.90983,              1.3697,             0.84833,             0.63069,             0.73286,             0.42392,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              1.6093,             0.90315,              1.3646,             0.85167,               0.631,             0.73393,             0.42647,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              1.6082,             0.90193,              1.3625,             0.85657,             0.63044,              0.7347,             0.42741,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              1.6096,             0.89943,              1.3623,             0.84887,             0.63347,               0.735,             0.42793,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,              1.6103,             0.89677,               1.361,             0.84607,             0.63644,             0.73609,             0.42967,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              1.6023,             0.89443,              1.3621,             0.84056,             0.64212,             0.73705,             0.42972,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,               1.596,             0.88912,              1.3532,             0.84359,             0.64201,             0.73757,             0.42925,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              1.5944,             0.88784,              1.3558,             0.84445,             0.64047,             0.73784,             0.42927,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,              1.5894,             0.88391,              1.3521,             0.84506,             0.64137,             0.73844,             0.43018,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              1.5902,             0.88277,              1.3513,             0.84981,             0.63837,             0.73883,             0.43044,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              1.5837,             0.87984,              1.3466,             0.83928,             0.64672,             0.73921,             0.43115,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
